episode,total_reward,epsilon
0,105.0,0.999521
1,80.0,0.999148
2,35.0,0.998759
3,80.0,0.998314
4,5.0,0.997916
5,465.0,0.996758
6,125.0,0.996221
7,120.0,0.995736
8,110.0,0.995435
9,45.0,0.995067
10,15.0,0.994695
11,25.0,0.994334
12,410.0,0.993704
13,105.0,0.993223
14,55.0,0.992748
15,45.0,0.992459
16,240.0,0.99173
17,135.0,0.991176
18,130.0,0.990791
19,30.0,0.990424
20,155.0,0.98993
21,135.0,0.989435
22,155.0,0.989028
23,55.0,0.988608
24,110.0,0.988131
25,210.0,0.98727
26,105.0,0.986842
27,180.0,0.986135
28,230.0,0.985314
29,135.0,0.984834
30,135.0,0.984355
31,110.0,0.98382
32,180.0,0.983279
33,110.0,0.982912
34,65.0,0.982439
35,155.0,0.981926
36,40.0,0.98147
37,80.0,0.981043
38,155.0,0.980603
39,35.0,0.980109
40,80.0,0.979734
41,205.0,0.979028
42,110.0,0.978466
43,185.0,0.977883
44,80.0,0.977449
45,125.0,0.976935
46,195.0,0.976331
47,55.0,0.976064
48,30.0,0.975734
49,345.0,0.97504
50,120.0,0.974669
51,235.0,0.973798
52,15.0,0.973309
53,80.0,0.972993
54,155.0,0.972444
55,135.0,0.971936
56,90.0,0.971555
57,110.0,0.971042
58,335.0,0.970101
59,165.0,0.969571
60,185.0,0.968896
61,20.0,0.968645
62,240.0,0.967965
63,460.0,0.966983
64,205.0,0.96643
65,200.0,0.965697
66,125.0,0.965315
67,110.0,0.964865
68,150.0,0.964134
69,155.0,0.963765
70,35.0,0.963369
71,180.0,0.962656
72,110.0,0.962182
73,315.0,0.961578
74,150.0,0.961071
75,180.0,0.960539
76,210.0,0.959954
77,45.0,0.959697
78,75.0,0.959248
79,135.0,0.958815
80,800.0,0.957825
81,80.0,0.957437
82,135.0,0.957005
83,235.0,0.956293
84,120.0,0.955816
85,110.0,0.955497
86,55.0,0.954985
87,60.0,0.954718
88,290.0,0.95397
89,370.0,0.953322
90,145.0,0.952841
91,100.0,0.95236
92,545.0,0.95169
93,85.0,0.951408
94,80.0,0.950946
95,65.0,0.950633
96,65.0,0.950349
97,110.0,0.949837
98,225.0,0.949234
99,140.0,0.948769
100,80.0,0.948356
101,155.0,0.94776
102,135.0,0.947301
103,55.0,0.946893
104,180.0,0.946352
105,140.0,0.945758
106,165.0,0.945232
107,65.0,0.9448259999999999
108,240.0,0.943897
109,120.0,0.943421
110,85.0,0.943129
111,155.0,0.942523
112,210.0,0.941865
113,185.0,0.941071
114,45.0,0.940671
115,145.0,0.94019
116,245.0,0.939442
117,180.0,0.938883
118,485.0,0.93815
119,240.0,0.937478
120,535.0,0.936564
121,120.0,0.936182
122,30.0,0.935842
123,160.0,0.935254
